observation_date,PCECTPI_PC1,UNRATE
1970-01-01,4.9,4.2
1970-04-01,4.7,4.8
1970-07-01,4.5,5.2
1970-10-01,4.6,5.8
1971-01-01,4.4,5.9
1971-04-01,4.4,5.9
1971-07-01,4.4,6.0
1971-10-01,3.7,5.9
1972-01-01,3.9,5.8
1972-04-01,3.3,5.7
1972-07-01,3.2,5.6
1972-10-01,3.4,5.4
1973-01-01,3.5,4.9
1973-04-01,4.9,4.9
1973-07-01,5.9,4.8
1973-10-01,7.2,4.8
1974-01-01,9.1,5.1
1974-04-01,10.0,5.2
1974-07-01,11.0,5.6
1974-10-01,11.5,6.6
1975-01-01,10.3,8.3
1975-04-01,8.6,8.9
1975-07-01,7.7,8.5
1975-10-01,6.8,8.3
1976-01-01,6.0,7.7
1976-04-01,5.6,7.6
1976-07-01,5.2,7.7
1976-10-01,5.1,7.8
1977-01-01,5.9,7.5
1977-04-01,6.8,7.1
1977-07-01,6.8,6.9
1977-10-01,6.6,6.7
1978-01-01,6.4,6.3
1978-04-01,6.8,6.0
1978-07-01,7.0,6.0
1978-10-01,7.5,5.9
1979-01-01,7.8,5.9
1979-04-01,8.5,5.7
1979-07-01,9.3,5.9
1979-10-01,9.9,6.0
1980-01-01,11.1,6.3
1980-04-01,10.8,7.3
1980-07-01,10.6,7.7
1980-10-01,10.7,7.4
1981-01-01,10.2,7.4
1981-04-01,9.4,7.4
1981-07-01,8.7,7.4
1981-10-01,7.7,8.2
1982-01-01,6.3,8.8
1982-04-01,5.5,9.4
1982-07-01,5.5,9.9
1982-10-01,5.0,10.7
1983-01-01,4.5,10.4
1983-04-01,4.5,10.1
1983-07-01,4.2,9.4
1983-10-01,3.8,8.5
1984-01-01,4.0,7.9
1984-04-01,4.1,7.4
1984-07-01,3.5,7.4
1984-10-01,3.5,7.3
1985-01-01,3.6,7.2
1985-04-01,3.4,7.3
1985-07-01,3.4,7.2
1985-10-01,3.5,7.0
1986-01-01,3.0,7.0
1986-04-01,2.1,7.2
1986-07-01,1.8,7.0
1986-10-01,1.7,6.8
1987-01-01,2.0,6.6
1987-04-01,3.1,6.3
1987-07-01,3.5,6.0
1987-10-01,3.8,5.8
1988-01-01,3.6,5.7
1988-04-01,3.8,5.5
1988-07-01,4.0,5.5
1988-10-01,4.2,5.3
1989-01-01,4.6,5.2
1989-04-01,4.8,5.2
1989-07-01,4.2,5.2
1989-10-01,3.9,5.4
1990-01-01,4.2,5.3
1990-04-01,3.8,5.3
1990-07-01,4.5,5.7
1990-10-01,5.0,6.1
1991-01-01,4.1,6.6
1991-04-01,3.7,6.8
1991-07-01,3.1,6.9
1991-10-01,2.5,7.1
1992-01-01,2.6,7.4
1992-04-01,2.7,7.6
1992-07-01,2.7,7.6
1992-10-01,2.7,7.4
1993-01-01,2.6,7.1
1993-04-01,2.6,7.1
1993-07-01,2.4,6.8
1993-10-01,2.3,6.6
1994-01-01,2.1,6.6
1994-04-01,1.9,6.2
1994-07-01,2.2,6.0
1994-10-01,2.1,5.6
1995-01-01,2.3,5.5
1995-04-01,2.3,5.7
1995-07-01,2.0,5.7
1995-10-01,1.9,5.6
1996-01-01,2.0,5.5
1996-04-01,2.1,5.5
1996-07-01,2.1,5.3
1996-10-01,2.4,5.3
1997-01-01,2.2,5.2
1997-04-01,1.8,5.0
1997-07-01,1.6,4.9
1997-10-01,1.3,4.7
1998-01-01,0.8,4.6
1998-04-01,0.8,4.4
1998-07-01,0.8,4.5
1998-10-01,0.8,4.4
1999-01-01,1.0,4.3
1999-04-01,1.3,4.3
1999-07-01,1.6,4.2
1999-10-01,1.9,4.1
2000-01-01,2.6,4.0
2000-04-01,2.5,3.9
2000-07-01,2.6,4.0
2000-10-01,2.5,3.9
2001-01-01,2.4,4.2
2001-04-01,2.4,4.4
2001-07-01,1.8,4.8
2001-10-01,1.3,5.5
2002-01-01,0.8,5.7
2002-04-01,1.0,5.8
2002-07-01,1.5,5.7
2002-10-01,1.9,5.9
2003-01-01,2.5,5.9
2003-04-01,1.9,6.1
2003-07-01,2.0,6.1
2003-10-01,2.0,5.8
2004-01-01,2.0,5.7
2004-04-01,2.6,5.6
2004-07-01,2.4,5.4
2004-10-01,2.8,5.4
2005-01-01,2.6,5.3
2005-04-01,2.6,5.1
2005-07-01,3.2,5.0
2005-10-01,3.1,5.0
2006-01-01,3.1,4.7
2006-04-01,3.3,4.6
2006-07-01,2.9,4.6
2006-10-01,2.0,4.4
2007-01-01,2.4,4.5
2007-04-01,2.3,4.5
2007-07-01,2.2,4.7
2007-10-01,3.4,4.8
2008-01-01,3.3,5.0
2008-04-01,3.4,5.3
2008-07-01,3.9,6.0
2008-10-01,1.2,6.9
2009-01-01,-0.3,8.3
2009-04-01,-0.8,9.3
2009-07-01,-1.2,9.6
2009-10-01,1.2,9.9
2010-01-01,2.3,9.8
2010-04-01,2.0,9.6
2010-07-01,1.5,9.5
2010-10-01,1.4,9.5
2011-01-01,1.8,9.0
2011-04-01,2.7,9.1
2011-07-01,3.0,9.0
2011-10-01,2.6,8.6
2012-01-01,2.5,8.3
2012-04-01,1.7,8.2
2012-07-01,1.5,8.0
2012-10-01,1.8,7.8
2013-01-01,1.5,7.7
2013-04-01,1.3,7.5
2013-07-01,1.4,7.2
2013-10-01,1.3,6.9
2014-01-01,1.4,6.7
2014-04-01,1.8,6.2
2014-07-01,1.7,6.1
2014-10-01,1.2,5.7
2015-01-01,0.3,5.5
2015-04-01,0.2,5.4
2015-07-01,0.2,5.1
2015-10-01,0.2,5.0
2016-01-01,0.7,4.9
2016-04-01,0.8,4.9
2016-07-01,1.0,4.9
2016-10-01,1.5,4.8
2017-01-01,2.1,4.6
2017-04-01,1.7,4.4
2017-07-01,1.7,4.3
2017-10-01,1.9,4.2
2018-01-01,2.0,4.0
2018-04-01,2.3,3.9
2018-07-01,2.3,3.8
2018-10-01,2.0,3.8
2019-01-01,1.5,3.9
2019-04-01,1.6,3.6
2019-07-01,1.5,3.6
