observation_date,PCECTPI_PC1,UNRATE
1960-01-01,1.7,5.1
1960-04-01,1.8,5.2
1960-07-01,1.6,5.5
1960-10-01,1.5,6.3
1961-01-01,1.5,6.8
1961-04-01,1.0,7.0
1961-07-01,1.0,6.8
1961-10-01,0.6,6.2
1962-01-01,0.9,5.6
1962-04-01,1.3,5.5
1962-07-01,1.2,5.6
1962-10-01,1.4,5.5
1963-01-01,1.2,5.8
1963-04-01,1.0,5.7
1963-07-01,1.2,5.5
1963-10-01,1.3,5.6
1964-01-01,1.5,5.5
1964-04-01,1.6,5.2
1964-07-01,1.4,5.0
1964-10-01,1.4,5.0
1965-01-01,1.2,4.9
1965-04-01,1.5,4.7
1965-07-01,1.5,4.4
1965-10-01,1.5,4.1
1966-01-01,2.0,3.9
1966-04-01,2.3,3.8
1966-07-01,2.7,3.8
1966-10-01,3.2,3.7
1967-01-01,2.7,3.8
1967-04-01,2.3,3.8
1967-07-01,2.5,3.8
1967-10-01,2.6,3.9
1968-01-01,3.4,3.7
1968-04-01,3.9,3.6
1968-07-01,4.0,3.5
1968-10-01,4.3,3.4
1969-01-01,4.2,3.4
1969-04-01,4.5,3.4
1969-07-01,4.6,3.6
1969-10-01,4.7,3.6
