DATE,LRUNTTTTUSQ156S
1960-01-01,5.13333333333333
1960-04-01,5.23333333333333
1960-07-01,5.53333333333333
1960-10-01,6.26666666666667
1961-01-01,6.8
1961-04-01,7
1961-07-01,6.76666666666667
1961-10-01,6.2
1962-01-01,5.63333333333333
1962-04-01,5.53333333333333
1962-07-01,5.56666666666667
1962-10-01,5.53333333333333
1963-01-01,5.76666666666667
1963-04-01,5.73333333333333
1963-07-01,5.5
1963-10-01,5.56666666666667
1964-01-01,5.46666666666667
1964-04-01,5.2
1964-07-01,5
1964-10-01,4.96666666666667
1965-01-01,4.9
1965-04-01,4.66666666666667
1965-07-01,4.36666666666667
1965-10-01,4.1
1966-01-01,3.86666666666667
1966-04-01,3.83333333333333
1966-07-01,3.76666666666667
1966-10-01,3.7
1967-01-01,3.83333333333333
1967-04-01,3.83333333333333
1967-07-01,3.8
1967-10-01,3.9
1968-01-01,3.73333333333333
1968-04-01,3.56666666666667
1968-07-01,3.53333333333333
1968-10-01,3.4
1969-01-01,3.4
1969-04-01,3.43333333333333
1969-07-01,3.56666666666667
1969-10-01,3.56666666666667
1970-01-01,4.16666666666667
1970-04-01,4.76666666666667
1970-07-01,5.16666666666667
1970-10-01,5.83333333333333
1971-01-01,5.93333333333333
1971-04-01,5.9
1971-07-01,6.03333333333333
1971-10-01,5.93333333333333
1972-01-01,5.76666666666667
1972-04-01,5.7
1972-07-01,5.56666666666667
1972-10-01,5.36666666666667
1973-01-01,4.93333333333333
1973-04-01,4.93333333333333
1973-07-01,4.8
1973-10-01,4.76666666666667
1974-01-01,5.13333333333333
1974-04-01,5.2
1974-07-01,5.63333333333333
1974-10-01,6.6
1975-01-01,8.26666666666666
1975-04-01,8.86666666666667
1975-07-01,8.46666666666667
1975-10-01,8.3
1976-01-01,7.73333333333333
1976-04-01,7.56666666666667
1976-07-01,7.73333333333333
1976-10-01,7.76666666666667
1977-01-01,7.5
1977-04-01,7.13333333333333
1977-07-01,6.9
1977-10-01,6.66666666666667
1978-01-01,6.33333333333333
1978-04-01,6
1978-07-01,6.03333333333333
1978-10-01,5.9
1979-01-01,5.86666666666667
1979-04-01,5.7
1979-07-01,5.86666666666667
1979-10-01,5.96666666666667
1980-01-01,6.3
1980-04-01,7.33333333333333
1980-07-01,7.66666666666667
1980-10-01,7.4
1981-01-01,7.43333333333333
1981-04-01,7.4
1981-07-01,7.4
1981-10-01,8.23333333333334
1982-01-01,8.83333333333334
1982-04-01,9.43333333333334
1982-07-01,9.9
1982-10-01,10.6666666666667
1983-01-01,10.3666666666667
1983-04-01,10.1333333333333
1983-07-01,9.36666666666666
1983-10-01,8.53333333333333
1984-01-01,7.86666666666667
1984-04-01,7.43333333333333
1984-07-01,7.43333333333333
1984-10-01,7.3
1985-01-01,7.23333333333333
1985-04-01,7.3
1985-07-01,7.2
1985-10-01,7.03333333333333
1986-01-01,7.03333333333333
1986-04-01,7.16666666666667
1986-07-01,6.96666666666667
1986-10-01,6.83333333333333
1987-01-01,6.6
1987-04-01,6.26666666666667
1987-07-01,6
1987-10-01,5.83333333333333
1988-01-01,5.7
1988-04-01,5.46666666666667
1988-07-01,5.46666666666667
1988-10-01,5.33333333333333
1989-01-01,5.2
1989-04-01,5.23333333333333
1989-07-01,5.23333333333333
1989-10-01,5.36666666666667
1990-01-01,5.3
1990-04-01,5.33333333333333
1990-07-01,5.7
1990-10-01,6.13333333333333
1991-01-01,6.6
1991-04-01,6.83333333333333
1991-07-01,6.86666666666667
1991-10-01,7.1
1992-01-01,7.36666666666667
1992-04-01,7.6
1992-07-01,7.63333333333333
1992-10-01,7.36666666666667
1993-01-01,7.13333333333333
1993-04-01,7.06666666666667
1993-07-01,6.8
1993-10-01,6.63333333333333
1994-01-01,6.56666666666667
1994-04-01,6.2
1994-07-01,6
1994-10-01,5.63333333333333
1995-01-01,5.46666666666667
1995-04-01,5.66666666666667
1995-07-01,5.66666666666667
1995-10-01,5.56666666666667
1996-01-01,5.53333333333333
1996-04-01,5.5
1996-07-01,5.26666666666667
1996-10-01,5.33333333333333
1997-01-01,5.23333333333333
1997-04-01,5
1997-07-01,4.86666666666667
1997-10-01,4.66666666666667
1998-01-01,4.63333333333333
1998-04-01,4.4
1998-07-01,4.53333333333333
1998-10-01,4.43333333333333
1999-01-01,4.3
1999-04-01,4.26666666666667
1999-07-01,4.23333333333333
1999-10-01,4.06666666666667
2000-01-01,4.03333333333333
2000-04-01,3.93333333333333
2000-07-01,4
2000-10-01,3.9
2001-01-01,4.23333333333333
2001-04-01,4.4
2001-07-01,4.83333333333333
2001-10-01,5.5
2002-01-01,5.7
2002-04-01,5.83333333333333
2002-07-01,5.73333333333333
